127.0.0.1, 2018-04-24 23:13:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-24 23:13:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.023000
, 0.022000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.016000

127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:13:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.113000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.140000
127.0.0.1, 2018-04-24 23:13:06, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-04-24 23:13:06, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.208000
127.0.0.1, 2018-04-24 23:13:06, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.320000
127.0.0.1, 2018-04-24 23:13:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.285000
127.0.0.1, 2018-04-24 23:13:15, GET, /admin/default/edit/welcome/private/appconfig.ini, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-24 23:13:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:13:15, GET, /admin/default/edit/welcome/private/appconfig.ini, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-24 23:13:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-04-24 23:13:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075000
127.0.0.1, 2018-04-24 23:13:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-04-24 23:13:15, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.050000
127.0.0.1, 2018-04-24 23:13:16, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.926000
127.0.0.1, 2018-04-24 23:13:19, GET, /admin/default/site, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-04-24 23:13:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-24 23:13:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.395000
